City,State,Code
Neuquen,Argentina,NQN
Parana,Argentina,PRA
Perito Moreno,Argentina,PMQ
Posadas,Argentina,PSS
Pres. Roque Saenz Pena,Argentina,PRQ
Puerto Deseado,Argentina,PUD
Puerto Madryn,Argentina,PMY
Reconquista,Argentina,RCQ
Resistencia,Argentina,RES
Rio Cuarto,Argentina,RCU
Rio Grande,Argentina,RGA
Rio Mayo,Argentina,ROY
Rosario,Argentina,ROS
San Antonio Oesta,Argentina,OES
San Juan,Argentina,UAQ
San Julian,Argentina,ULA
San Luis,Argentina,LUQ
Santa Rosa,Argentina,RSA
Trelew,Argentina,REL
Tucuman,Argentina,TUC
Ushuaia,Argentina,USH
Viedma,Argentina,VDM
Villa Gesell,Argentina,VLG
Villa Mercedes,Argentina,VME
Mount Gambier,Australia,MGB
Mount Hotham,Australia,MHU
Mount Keith,Australia,WME
Mount Magnet,Australia,MMG
Murray Island,Australia,MYI
Narrabri,Australia,NAA
Newcastle,Australia,NTL
Newman,Australia,ZNE
Ngukurr,Australia,RPM
Normanton,Australia,NTN
Numbulwar,Australia,NUB
Nyngan,Australia,NYN
Olympic Dam,Australia,OLP
Orange,Australia,OAG
Paraburdoo,Australia,PBO
Perth,Australia,PER
Port Augusta,Australia,PUG
Port Headland,Australia,PHE
Port Lincoln,Australia,PLO
Port Macquarie,Australia,PQQ
Portland,Australia,PTJ
Proserpine,Australia,PPP
Quipi,Australia,ULP
Ramingining,Australia,RAM
Richmond,Australia,RCM
Rockhampton,Australia,ROK
Roma,Australia,RMA
South Molle Island,Australia,SOI
Sue Island,Australia,SYU
Sunshine Coast,Australia,MCY
Sydney,Australia,SYD
Tamworth,Australia,TMW
Taree,Australia,TRO
Tennant Creek,Australia,TCA
Thangool,Australia,THG
Thargomindah,Australia,XTG
Thursday Island,Australia,TIS
Tom Price,Australia,TPR
Toowoomba,Australia,TWB
Townsville,Australia,TSV
Traralgon,Australia,TGN
Useless Loop,Australia,USL
Victoria River Downs,Australia,VCD
Wagga Wagga,Australia,WGA
Walgett,Australia,WGE
Weipa,Australia,WEI
Whyalla,Australia,WYA
Wiluna,Australia,WUN
Windarra,Australia,WNR
Winton,Australia,WIN
Wudinna,Australia,WUD
Wyndham,Australia,WYN
Yam Island,Australia,XMY
Yorke Island,Australia,OKR
Newcastle,Australia - Belmont,BEO
Mucuri,Brazil,MVS
Natal,Brazil,NAT
Navegantes,Brazil,NVT
Palmas,Brazil,PMW
Parnaiba,Brazil,PHB
Passo Fundo,Brazil,PFB
Pelotas,Brazil,PET
Petrolina,Brazil,PNZ
Ponta Pora,Brazil,PMG
Porto Alegre,Brazil,POA
Porto Velho,Brazil,PVH
Presidente Prudente,Brazil,PPB
Recife,Brazil,REC
Ribeirao Preto,Brazil,RAO
Rio Branco,Brazil,RBR
Rio De Janeiro,Brazil,GIG
